area,SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 15,SDG 16,Composite Score,year,Indicator 1,Indicator 2,Indicator 3
Odisha,47,34,61,40,35,85,50,59,72,69,51,44,69,99,61,58,2019,52.46,98.86,58.66
Punjab,48,61,71,67,46,74,89,65,69,50,61,35,57,59,83,62,2019,44.72,46.01,43.57
Rājasthān,56,35,58,51,39,76,61,65,38,70,61,30,60,75,76,57,2019,76.14,44.73,70.11
Sikkim,65,66,59,58,49,79,97,68,27,64,74,60,38,100,69,65,2019,20.89,83.70,29.35
Tamil Nādu,72,48,76,70,40,90,90,74,53,65,51,63,45,91,78,67,2019,85.54,42.72,56.28
Telangāna,52,36,66,64,26,84,93,82,61,94,62,58,66,88,77,67,2019,78.52,59.28,32.46
Tripura,70,49,61,55,32,69,56,63,48,45,31,92,37,88,73,58,2019,89.07,28.28,23.71
Uttar Pradesh,40,31,34,48,41,94,63,64,63,46,56,62,48,62,69,55,2019,59.33,81.88,19.91
Uttarākhand,64,45,58,66,38,90,78,73,55,59,51,50,59,95,85,64,2019,70.87,4.28,22.02
West Bengal,52,40,70,50,38,83,58,72,68,73,34,57,37,88,73,60,2019,11.68,47.13,51.95
Andaman and Nicobar Islands,48,38,65,61,48,85,73,55,13,94,47,69,72,85,65,61,2019,82.83,77.12,25.90
Chhattīsgarh,48,73,54,80,47,100,84,64,74,33,83,77,54,93,89,70,2019,37.82,66.12,23.16
Dadra and Nagar Haveli,33,45,57,53,44,91,80,63,100,57,41,65,41,100,80,63,2019,89.85,88.10,77.57
Daman and Diu,58,12,50,43,39,96,81,54,100,80,54,41,46,89,76,61,2019,65.22,75.55,76.40
Delhi,54,56,54,64,27,61,96,60,100,69,63,39,30,82,64,61,2019,37.56,48.77,4.31
Jammu and Kashmīr,58,55,62,54,53,85,76,46,49,47,33,61,59,74,69,59,2019,72.96,0.16,59.52
Lakshadweep,56,57,58,62,37,69,43,43,0,93,Null,75,100,100,82,63,2019,11.64,0.30,14.70
Puducherry,56,71,71,67,35,86,97,58,86,92,53,43,39,37,94,66,2019,30.95,17.49,99.91
India,50,35,61,58,42,88,70,64,65,64,53,55,60,66,72,60,2019,13.33,90.51,4.16
Andhra Pradesh,67,50,68,77,44,59,76,81,31,75,26,,,87,90,64,2018,28.61,45.36,69.14
Arunāchal Pradesh,52,58,38,44,32,64,44,72,16,47,44,,,73,77,51,2018,92.50,94.57,23.45
Assam,53,53,30,54,36,42,18,61,35,75,32,,,100,53,49,2018,12.03,43.49,59.63
Bihār,45,39,40,36,24,31,67,58,38,82,43,,,56,60,48,2018,70.73,33.05,1.24
Chhattisgarh,50,46,42,53,49,98,36,56,30,73,54,,,100,65,58,2018,15.13,43.86,16.82
Goa,62,80,65,71,35,65,61,90,0,50,71,,,100,87,64,2018,64.95,38.32,39.51
Gujarāt,48,49,52,67,31,100,67,80,65,79,52,,,71,73,64,2018,53.23,99.02,54.87
Haryāna,50,53,57,65,31,80,50,72,50,55,30,,,43,78,55,2018,17.54,16.06,25.51
Himāchal Pradesh,60,58,62,82,42,95,62,71,43,98,41,,,93,91,69,2018,65.44,14.33,2.83
Jammu and Kashmīr,61,60,53,51,39,52,58,43,35,71,23,,,74,69,53,2018,91.60,90.10,68.87
Jhārkhand,37,35,40,58,32,51,20,52,47,72,52,,,96,64,50,2018,24.63,90.79,65.11
Karnātaka,52,54,69,76,43,62,77,72,57,68,36,,,88,74,64,2018,25.29,10.55,78.34
Kerala,66,72,92,87,50,62,60,61,68,72,46,,,75,82,69,2018,46.05,4.97,64.22
Madhya Pradesh,44,41,38,49,33,63,58,57,27,75,39,,,91,59,52,2018,77.51,66.47,69.76
Mahārāshtra,47,47,60,74,43,81,69,74,53,76,34,,,86,82,64,2018,22.80,10.99,32.11
Manipur,44,74,67,65,25,44,39,33,72,98,31,,,100,70,59,2018,10.25,89.34,95.20
