STATEs/UTs,year,yearFormatted,Percentage of households electrified,Percentage of households using clean cooking fuel (LPG),Percentage of renewable energy out of total installed generating capacity (Including allocated shares),Percentage of LPG+PNG connections against number of households
Mizoram,2018,2018,93.86,66.6,100.0,
Mizoram,2020-21,2021,100,,65.52904314292601,114.0740740740741
Mizoram,2023-24,2024,100.0,,65.49786977,114.03
Nagaland,2018,2018,79.78,32.8,100.0,
Nagaland,2023-24,2024,100.0,,49.07300672,58.6
Nagaland,2019,2019,100.0,59.9,,
Nagaland,2020-21,2021,100,,53.57245172749671,67.58793969849246
Odisha,2018,2018,90.47,19.2,2.53,
Odisha,2019,2019,100.0,32.6,,
Odisha,2023-24,2024,100.0,,34.878315,86.43
Odisha,2020-21,2021,100,,31.40329274622857,79.52446273433928
Puducherry,2019,2019,100.0,96.5,,
Puducherry,2023-24,2024,100.0,,11.70006313,105.06
Puducherry,2020-21,2021,100,,2.002443299516652,97.9002624671916
Puducherry,2018,2018,100.0,84.8,0.25,
Punjab,2019,2019,100.0,84.8,,
Punjab,2023-24,2024,100.0,,40.77966115,142.6
Punjab,2020-21,2021,100,,37.72204675636676,141.6639424648578
Punjab,2018,2018,100.0,65.9,10.01,
Rajasthan,2020-21,2021,100,,46.03922869745112,108.8844753392916
Rajasthan,2023-24,2024,100.0,,66.05399949,114.74
Rajasthan,2018,2018,94.09,31.8,38.23,
Rajasthan,2019,2019,100.0,48.1,,
Sikkim,2018,2018,92.74,59.1,8.58,
Sikkim,2023-24,2024,100.0,,87.03601824,86.24
Sikkim,2019,2019,100.0,96.3,,
Sikkim,2020-21,2021,100,,84.83904927123646,104.8611111111111
Tamil Nadu,2018,2018,100.0,73.0,49.33,
Tamil Nadu,2023-24,2024,100.0,,56.18638998,102.94
Tamil Nadu,2019,2019,100.0,86.7,,
Tamil Nadu,2020-21,2021,100,,51.59075516398297,100.2876001885903
Target,2018,2018,100.0,100.0,40.0,
Target,2023-24,2024,100.0,,50.0,100.0
Target,2019,2019,100.0,100.0,,
Target,2020-21,2021,100,,40.0,100.0
Telangana,2023-24,2024,100.0,,39.3389977,118.49
Telangana,2018,2018,96.91,66.8,16.58,
Telangana,2020-21,2021,100,,41.12414949927738,120.4347358226622
Telangana,2019,2019,100.0,90.7,,
Tripura,2023-24,2024,100.0,,16.03414679,78.37
Tripura,2018,2018,87.95,31.9,11.07,
Tripura,2019,2019,100.0,41.3,,
Tripura,2020-21,2021,100,,12.41440393411416,82.39583333333333
Uttar Pradesh,2019,2019,100.0,50.2,,
Uttar Pradesh,2018,2018,78.91,32.7,14.75,
Uttar Pradesh,2020-21,2021,100,,25.7689551955148,106.8262433970449
Uttar Pradesh,2023-24,2024,100.0,,27.460643,107.37
Uttarakhand,2019,2019,100.0,69.9,,
Uttarakhand,2018,2018,95.84,51.0,16.93,
Uttarakhand,2020-21,2021,100,,71.51842450371755,115.3977031050617
Uttarakhand,2023-24,2024,100.0,,69.34626272,119.94
West Bengal,2023-24,2024,100.0,,18.85998395,107.78
West Bengal,2020-21,2021,100,,17.756794749522,98.1345093715546
West Bengal,2019,2019,100.0,42.8,,
West Bengal,2018,2018,98.87,27.9,4.82,
